Page,relevantThird,relevantFirst,readability,length,sentiment,readTime,duration,lastPage,hits,expectedReadTime,readTimeDiff,weighedScores,cluster
abo_facilities_map.htm,0,0,10,30,5,0.109,77.5,0,99,10.791,66.709,0.013301,cluster1
cur_classroom_clip.html,0,0,60.5,442,16,1.607,67,0,110,176.77,-109.77,0.01483,cluster1
cur_classroom_talk.html,0,0,68.7,252,10,0.916,102.5,1,132,120.912,-18.412,0.01534,cluster1
cur_classroom_talk2.html,0,0,47.3,210,15,0.764,47.5,0,89,67.996,-20.496,0.01408,cluster1
cur_classroom_teacher.html,0,0,45.4,2980,15,10.836,103,0,174,1885.464,-1782.464,0.020667,cluster1
cur_computer.htm,0,0,25.7,438,13,1.593,329.5,2,264,420.552,-91.052,0.027219,cluster1
cur_sequence.htm,0,1,45.1,11381,9,41.385,626,16,404,16719.54,-16093.54,0.038905,cluster1
cur_standards.htm,0,0,30.07,5618,9,20.429,696.5,19,437,8927.473,-8230.973,0.046314,cluster1
intranet/pol_instruct.html,0,0,22.4,1231,13,4.476,234,2,231,1033.956,-799.956,0.029446,cluster1
intranet/pol_personne.html,0,0,31.6,1785,4,6.491,201.5,0,171,1109.961,-908.461,0.019969,cluster1
intranet/sta_leadersh.html,0,0,-131.9,164,4,0.596,255,0,272,162.112,92.888,0.033663,cluster1
intranet/sta_staff_as.html,0,0,46,103,-2,0.375,348.5,3,309,115.875,232.625,0.041309,cluster1
intranet/sta_teacher_.html,0,0,24.8,247,10,0.898,384.5,1,292,262.216,122.284,0.037318,cluster1
intranet/stu_attendan.html,0,1,-35.7,115,-3,0.418,278,0,242,101.156,176.844,0.027914,cluster1
intranet/stu_discipli.html,0,1,-5.4,52,4,0.189,208,0,278,52.542,155.458,0.033446,cluster1
pro_leadership.html,0,0,5,202,11,0.735,433.5,11,312,229.32,204.18,0.034716,cluster1
pro_leadership_talk.html,0,0,58.3,318,15,1.156,83,0,109,126.004,-43.004,0.013045,cluster1
pro_learncommunity.html,0,0,22.6,97,13,0.353,362.5,3,267,94.251,268.249,0.028903,cluster1
pro_learncommunity_talk.html,0,0,73.6,232,25,0.844,66,1,91,76.804,-10.804,0.01118,cluster1
pro_resources.html,0,0,9.7,76,11,0.276,295.5,8,254,70.104,225.396,0.027265,cluster1
pro_content.html,0,0,14.6,195,8,0.709,717,27,404,286.436,430.564,0.049302,cluster1
pro_data.html,0,0,42.9,199,12,0.724,68.5,0,93,67.332,1.168,0.007151,cluster1
pro_evaluation.html,0,0,46.7,163,20,0.593,35.5,0,61,36.173,-0.673,0.005147,cluster1
pro_research.html,0,0,41.7,65,14,0.236,23,0,45,10.62,12.38,0.003892,cluster1
pro_design.html,0,0,41.6,115,43,0.418,24.5,0,48,20.064,4.436,0.003523,cluster1
pro_learning.html,0,0,42.4,172,24,0.625,24,0,40,25,-1,0.002857,cluster1
pro_content_area.html,0,0,25.2,830,12,3.018,111.5,1,111,334.998,-223.498,0.011113,cluster1
pro_collaboration.html,0,0,27,99,4,0.36,32,0,49,17.64,14.36,0.003453,cluster1
sch_business.html,0,0,46.5,92,42,0.335,299.5,5,263,88.105,211.395,0.034959,cluster1
sch_business_artifact.html,0,0,37.1,107,30,0.389,75,0,90,35.01,39.99,0.011525,cluster1
sch_family.html,0,0,53.4,104,19,0.378,495,11,317,119.826,375.174,0.03967,cluster1
sch_family_artifact.html,0,0,60,184,28,0.669,70,0,114,76.266,-6.266,0.014406,cluster1
sta_demographics_talk.htm,0,0,73.1,270,16,0.982,138,0,159,156.138,-18.138,0.021598,cluster1
sta_contract.htm,0,0,67.6,155,3,0.564,494,13,372,209.808,284.192,0.046639,cluster1
