FacID,Pre1_0809,Pre1c_0809,Pre2_0809,Pre3_0809,Pre4_0809,Pre5_0809,Pre6_0809,Pre6,Pre9,Pre9_0809,Pre10,PRESETOTAL,POSTSETOTAL,SECHANGE,Post1,Post1c,Post1d,Post1e,Post1g,Post2a,Post2b,Post2d,Post2e,Post2f,Post2g,Step1Q1A,Step1Q1B,Step1Q1C,Step1Q2_ComputerKeyDataSources,Step1Q3,Step2Q1,Step2Q2_ComputerSelectedPrinciples,Step2Q4,Step3Q1Apart1,Step3Q1Apart2,Step3Q1Bpart1,Step3Q1Bpart2,Step4Q2,Step4Q3,Step4Q4,Crosscutting,Step1sub,Step1subWO,Step2sub,Step2subWO,Step3sub,Step4sub,TotalScoreWO,TotalScore,Step1Q1A_3,Step1Q1B_3,Step1Q1C_3,Step1Q2_ComputerKeyDataSources_3,Step1Q3_3,Step2Q1_3,Step2Q2_ComputerSelectedPrinciples_3,Step2Q4_3,Step3Q1Apart1_3,Step3Q1Apart2_3,Step3Q1Bpart1_3,Step3Q1Bpart2_3,Step4Q2_3,Step4Q3_3,Step4Q4_3,Crosscutting_3,Step1sub_3,Step1subWO_3,Step2sub_3,Step2subWO_3,Step3sub_3,Step4sub_3,TotalScoreWO_3,TotalScore_3,BeforeSub,DuringSub,AfterSub,Step1Cert,Step2Cert,Step3Cert,Step4Cert,Step1Conf,Step2Conf,Step3Conf,Step4Conf,Step1Cert_3,Step2Cert_3,Step3Cert_3,Step4Cert_3,Step1Conf_3,Step2Conf_3,Step3Conf_3,Step4Conf_3
2,2,1,1,10,0,2,2,0.25,0,2,3,26,15,-11,1,1,1,2,0,2,3,5,5,5,4,2,1,0,1.125,0,0,2,0,1,1,0,1,2,0,0,1,4.125,3,2,0,3,2,9,12.125,0,0,0,0.375,0,0,3,0,0,0,0,1,1,1,0,2,0,0,3,0,1,2,0,0,9,0,5,2,1,1,1,2,2,1,2,3,3,2,3,3,3,3,3
5,2,1,1,11,0,3,1,0.25,0,0,2,0,31,31,4,3,3,4,0,1,2,4,3,3,2,1,1,0,1.125,2,1,1,1,0,1,2,2,2,2,1,2,5.125,4,3,2,5,5,18,20.125,1,0,0,0.75,2,2,2,2,0,2,1,0,1,2,1,2,3.75,3,6,4,3,4,16,18.75,9,0,5,1,2,1,2,1,2,2,1,3,3,3,3,3,3,3,3
5,4,0,3,20,5,3,3,0.5,0,2,3,40,35,-5,2,2,2,4,0,1,1,2,4,4,2,1,1,0,1.125,2,1,2,1,3,2,1,2,1,1,1,3,5.125,4,4,2,8,3,20,23.125,1,0,0,1.125,0,3,3,3,2,2,1,2,1,1,1,3,2.125,1,9,6,7,3,20,24.125,9,0,5,3,4,3,3,4,4,3,3,4,3,3,3,4,4,4,4
4,3,1,1,3,0,1,3,0.75,1,2,2,31,40,9,3,4,4,3,3,2,2,2,1,1,2,0,0,0,2.25,0,1,2,1,0,3,0,2,1,1,1,2,2.25,0,4,2,5,3,12,16.25,3,3,3,1.125,3,2,3,0,0,0,0,0,2,2,1,2,13.125,12,5,2,0,5,21,25.125,9,9,7,3,3,3,3,4,4,4,5,3,3,3,3,4,4,3,4
4,4,0,3,12,0,0,2,0.25,0,1,2,20,32,12,3,3,3,4,0,1,1,2,2,2,2,2,3,2,1.5,3,1,2,0,1,2,2,3,1,0,0,2,11.5,10,3,1,8,1,22,25.5,3,2,0,1.5,3,0,2,0,3,2,1,1,1,1,0,2,9.5,8,2,0,7,2,19,22.5,9,9,7,2,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3
4,4,0,3,6,0,0,3,1,1,1,4,35,45,10,2,3,2,3,2,2,2,2,2,2,2,3,2,1,1.125,3,2,1,2,0,1,2,2,0,1,1,2,10.125,9,5,4,5,2,22,24.125,3,2,0,1.5,0,0,3,2,1,2,3,1,1,0,1,2,6.5,5,5,2,7,2,18,22.5,9,9,7,3,3,3,3,3,4,4,3,3,4,3,3,4,5,5,5
4,4,1,3,14,2,3,2,0.25,0,2,2,26,40,14,3,4,4,3,4,2,2,2,2,2,2,2,2,0,0.375,3,2,2,1,0,1,0,1,2,1,2,2,7.375,7,5,3,2,5,19,21.375,1,2,0,0.75,3,0,2,0,0,0,0,2,1,2,1,2,6.75,6,2,0,2,4,14,16.75,9,9,7,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3
16,2,1,1,5,0,3,2,0,0,0,3,43,0,-43,2,2,4,1,2,2,2,2,2,2,2,0,0,0,0.75,0,0,2,0,0,1,0,1,1,1,0,2,0.75,0,2,0,2,2,6,8.75,0,0,0,0.75,0,0,2,0,0,1,1,1,2,1,1,2,0,0,2,0,3,4,0,0,8,0,6,2,3,2,1,3,3,2,2,4,4,3,3,4,4,3,3
5,2,1,1,15,0,1,2,0.25,0,0,4,31,25,-6,2,2,2,4,3,2,4,4,3,3,4,3,3,1,1.125,3,3,3,2,2,3,2,3,3,3,3,3,11.125,10,8,5,10,9,37,41.125,3,3,1,0.375,3,0,3,0,2,2,0,2,3,2,1,1,10.375,10,3,0,6,6,23,26.375,9,0,5,3,3,2,2,4,3,2,2,4,4,3,3,5,5,5,4
2,2,1,1,5,0,2,2,0.5,0,0,2,35,39,4,3,2,4,2,3,3,2,1,2,2,2,1,1,0,1.125,0,2,1,0,1,0,0,0,1,0,0,1,3.125,2,3,2,1,1,7,9.125,2,2,0,1.875,3,2,2,0,1,2,1,0,2,1,1,2,8.875,7,4,2,4,4,19,22.875,9,0,5,2,2,2,1,2,2,2,1,3,3,2,3,4,3,2,3
16,2,1,1,19,0,2,2,0.25,0,2,2,30,22,-8,3,3,4,4,2,1,1,2,2,2,3,1,0,0,0.75,0,2,2,0,2,1,3,1,3,1,0,2,1.75,1,4,2,7,4,16,18.75,1,3,0,1.125,3,2,2,2,0,2,0,2,1,1,1,1,8.125,7,6,4,4,3,19,22.125,8,0,6,2,2,2,3,2,2,2,3,3,2,2,2,4,2,2,2
5,2,1,1,7,0,2,2,0.25,0,0,1,17,14,-3,2,1,1,2,0,3,4,4,5,5,4,1,1,0,0.75,2,1,1,0,1,2,0,1,1,1,1,2,4.75,4,2,1,4,3,14,15.75,0,0,0,1.125,0,1,3,1,1,2,1,1,1,1,1,2,0,0,2.125,2,5,3,0,0,9,0,5,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2
16,2,1,1,8,0,3,2,0.5,1,2,2,28,41,13,3,3,4,3,3,2,2,2,2,2,2,1,1,0,0.375,0,0,2,0,0,1,0,1,1,1,0,1,2.375,2,2,0,2,2,7,9.375,1,0,0,0,0,1,2,0,0,0,2,1,2,1,1,1,1,1,3,1,3,4,10,12,8,0,6,3,4,4,3,3,4,4,4,4,4,4,4,5,5,6,5
15,2,1,1,25,0,3,3,1,0,2,4,29,31,2,3,4,0,3,3,2,2,3,3,2,3,1,1,0,1.5,1,1,3,2,0,2,0,2,1,2,1,1,4.5,3,6,3,4,4,15,19.5,3,1,0,0,2,2,3,0,2,1,0,1,2,1,1,2,6,6,5,2,4,4,18,21,2,0,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
16,2,1,1,4,0,2,1,0.25,0,0,4,33,46,13,2,3,3,4,1,2,2,2,2,2,4,0,0,0,1.5,0,2,2,0,3,1,1,2,2,0,1,2,1.5,0,4,2,7,3,14,17.5,0,0,0,0.75,0,3,2,3,2,2,3,2,2,1,1,3,0,0,8,6,9,4,0,0,8,0,6,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,5
5,4,1,1,2,0,0,3,0.25,1,4,4,43,48,5,0,0,2,3,0,2,5,5,5,5,5,3,2,0,1.125,0,3,2,2,0,2,0,1,1,2,1,2,6.125,5,7,5,3,4,19,22.125,3,2,0,1.125,0,0,2,1,0,1,0,1,1,1,1,1,6.125,5,3,1,2,3,12,15.125,9,0,5,3,3,2,3,5,4,3,4,4,4,3,4,5,5,4,5
16,2,1,1,10,0,3,2,0.25,0,0,2,32,39,7,2,2,2,3,3,2,2,2,3,3,3,1,0,0,1.5,0,2,3,0,1,1,1,1,2,0,1,2,2.5,1,5,2,4,3,12,16.5,0,0,0,0.375,0,1,3,0,1,1,1,1,2,1,0,2,0,0,4,1,4,3,0,0,8,0,6,2,3,2,2,2,3,2,2,3,3,2,3,3,3,3,3
