thirdHits,firstHits,thirdUnique,firstUnique,thirdTime,firstTime,thirdSession,firstSession
Min.   :  1.00,Min.   :  6.00,Min.   : 1.00,Min.   : 4.0,Min.   : 72.5,Min.   : 10.00,Min.   : 1.000,Min.   : 1.000
1st Qu.: 50.00,1st Qu.: 43.00,1st Qu.:33.00,1st Qu.:30.0,1st Qu.:164.5,1st Qu.: 62.75,1st Qu.: 3.000,1st Qu.: 2.000
Median : 73.00,Median : 73.00,Median :46.00,Median :41.0,Median :244.5,Median : 98.00,Median : 4.000,Median : 3.000
Mean   : 86.01,Mean   : 87.48,Mean   :44.28,Mean   :42.3,Mean   :275.6,Mean   :140.04,Mean   : 5.224,Mean   : 3.217
3rd Qu.:115.00,3rd Qu.:110.50,3rd Qu.:61.00,3rd Qu.:56.0,3rd Qu.:371.5,3rd Qu.:163.00,3rd Qu.: 7.000,3rd Qu.: 4.000
Max.   :249.00,Max.   :338.00,Max.   :72.00,Max.   :72.0,Max.   :888.5,Max.   :679.00,Max.   :17.000,Max.   :16.000
,NA's   :2,,NA's   :2,,NA's   :2,,NA's   :2
